epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,188.006,0.80172,1.1748,1.34801,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.000451178,0.000451178,0.000451178
69,190.418,0.4894,0.96611,1.00235,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.000444448,0.000444448,0.000444448
70,193.205,0.464,0.99455,1.0498,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.000437322,0.000437322,0.000437322
71,196.009,0.60278,1.0327,0.9347,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.0004298,0.0004298,0.0004298
72,199.016,0.58081,0.87023,1.01638,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000421882,0.000421882,0.000421882
73,201.255,0.51951,0.76101,1.01462,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000413568,0.000413568,0.000413568
74,203.624,0.84709,2.13856,1.26461,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000404858,0.000404858,0.000404858
75,206.003,0.72918,0.96579,1.0768,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.000395752,0.000395752,0.000395752
76,208.493,0.64962,1.02095,1.02672,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.00038625,0.00038625,0.00038625
77,211.151,0.57867,1.27073,1.03756,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.000376352,0.000376352,0.000376352
78,213.582,0.42338,0.82747,0.96352,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000366058,0.000366058,0.000366058
79,216.087,0.67129,0.93215,1.1597,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000355368,0.000355368,0.000355368
80,218.683,0.53771,0.9712,0.90105,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000344282,0.000344282,0.000344282
81,221.307,0.44207,0.96694,0.96216,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.0003328,0.0003328,0.0003328
82,224.06,0.70635,1.18986,1.19457,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.000320922,0.000320922,0.000320922
83,226.932,0.74441,1.13894,1.17532,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.000308648,0.000308648,0.000308648
84,229.548,0.99553,1.33907,1.26146,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000295978,0.000295978,0.000295978
85,232.07,0.48019,0.83139,1.06028,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000282912,0.000282912,0.000282912
86,234.744,0.72494,1.08943,1.14048,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.00026945,0.00026945,0.00026945
87,237.485,0.60987,0.87785,1.126,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000255592,0.000255592,0.000255592
88,240.159,0.69366,1.10688,1.20758,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000241338,0.000241338,0.000241338
89,242.902,0.72927,1.2211,1.26731,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000226688,0.000226688,0.000226688
90,245.502,0.74447,1.11504,1.18022,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000211642,0.000211642,0.000211642
91,248.227,0.51638,1.41793,1.01991,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.0001962,0.0001962,0.0001962
92,250.769,0.62517,1.63042,1.13782,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000180362,0.000180362,0.000180362
93,253.257,0.52619,1.73551,0.85187,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000164128,0.000164128,0.000164128
94,255.753,0.46558,1.69324,1.06679,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000147498,0.000147498,0.000147498
95,258.348,0.46671,1.42594,0.98662,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000130472,0.000130472,0.000130472
96,260.811,0.48678,1.25283,0.91299,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,0.00011305,0.00011305,0.00011305
97,263.09,0.46349,1.38631,1.06587,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,9.5232e-05,9.5232e-05,9.5232e-05
98,265.38,0.35312,1.28107,1.06613,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,7.7018e-05,7.7018e-05,7.7018e-05
99,267.957,0.38657,1.48002,1.00496,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,5.8408e-05,5.8408e-05,5.8408e-05
100,270.492,0.28849,1.26794,0.87091,0.98046,1,0.995,0.9067,0.44636,1.35966,1.01487,3.9402e-05,3.9402e-05,3.9402e-05
