epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,310.176,0.53598,0.88072,0.97362,0.97195,1,0.995,0.92902,0.40472,3.42539,1.04735,0.000255592,0.000255592,0.000255592
88,314.352,0.54294,0.87848,1.05735,0.97632,1,0.995,0.995,0.31761,3.29914,0.96355,0.000241338,0.000241338,0.000241338
89,317.698,0.57396,1.11742,0.97031,0.97632,1,0.995,0.995,0.31761,3.29914,0.96355,0.000226688,0.000226688,0.000226688
90,321.385,0.8117,1.1822,1.25553,0.97632,1,0.995,0.995,0.31761,3.29914,0.96355,0.000211642,0.000211642,0.000211642
91,325.443,0.523,1.72467,0.89894,0.97632,1,0.995,0.995,0.31761,3.29914,0.96355,0.0001962,0.0001962,0.0001962
92,329.053,0.42802,1.1782,0.86339,0.97966,1,0.995,0.995,0.2831,3.12641,0.93325,0.000180362,0.000180362,0.000180362
93,332.586,0.46522,1.43434,1.06255,0.97966,1,0.995,0.995,0.2831,3.12641,0.93325,0.000164128,0.000164128,0.000164128
94,336.059,0.46141,1.33857,0.99358,0.97966,1,0.995,0.995,0.2831,3.12641,0.93325,0.000147498,0.000147498,0.000147498
95,340.047,0.6001,1.35049,0.97204,0.97966,1,0.995,0.995,0.2831,3.12641,0.93325,0.000130472,0.000130472,0.000130472
96,343.547,0.38491,1.49456,1.03259,0.98175,1,0.995,0.995,0.28594,3.08224,0.92438,0.00011305,0.00011305,0.00011305
97,347.563,0.31388,1.49331,1.02346,0.98175,1,0.995,0.995,0.28594,3.08224,0.92438,9.5232e-05,9.5232e-05,9.5232e-05
98,351.56,0.301,1.15209,0.71959,0.98175,1,0.995,0.995,0.28594,3.08224,0.92438,7.7018e-05,7.7018e-05,7.7018e-05
99,355.541,0.41182,1.17772,0.82026,0.98175,1,0.995,0.995,0.28594,3.08224,0.92438,5.8408e-05,5.8408e-05,5.8408e-05
100,359.242,0.35584,1.34963,0.91499,0.97869,1,0.995,0.995,0.28161,3.00386,0.91601,3.9402e-05,3.9402e-05,3.9402e-05
