epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2319.3,1.12773,1.09083,1.06335,0.87868,0.82556,0.89816,0.56344,1.23084,0.97717,0.97046,0.000231213,0.000231213,0.000231213
89,2338.06,1.28609,0.95619,1.05806,0.87868,0.82556,0.89816,0.56344,1.23084,0.97717,0.97046,0.00021471,0.00021471,0.00021471
90,2357.1,1.24163,0.99609,1.02297,0.85398,0.87805,0.8994,0.566,1.22115,0.96077,0.96687,0.000198206,0.000198206,0.000198206
91,2376.58,1.39552,1.09396,1.0075,0.85398,0.87805,0.8994,0.566,1.22115,0.96077,0.96687,0.000181703,0.000181703,0.000181703
92,2407.83,1.41899,1.25005,0.98478,0.88144,0.87105,0.90128,0.56814,1.21595,0.94884,0.96293,0.0001652,0.0001652,0.0001652
93,2428.11,1.29535,1.11303,1.03333,0.88144,0.87105,0.90128,0.56814,1.21595,0.94884,0.96293,0.000148696,0.000148696,0.000148696
94,2453.08,1.36615,1.10437,1.02763,0.88408,0.88687,0.90661,0.56917,1.21519,0.93978,0.96128,0.000132193,0.000132193,0.000132193
95,2480.32,1.30397,1.02143,0.96705,0.88408,0.88687,0.90661,0.56917,1.21519,0.93978,0.96128,0.00011569,0.00011569,0.00011569
96,2505.42,1.37132,1.21798,1.01477,0.88835,0.87727,0.90825,0.5743,1.21097,0.93314,0.95883,9.91865e-05,9.91865e-05,9.91865e-05
97,2529.97,1.26117,1.02593,1.07486,0.88835,0.87727,0.90825,0.5743,1.21097,0.93314,0.95883,8.26832e-05,8.26832e-05,8.26832e-05
98,2551.62,1.25782,1.11388,0.95636,0.88943,0.87208,0.90867,0.57263,1.21213,0.93548,0.95745,6.61799e-05,6.61799e-05,6.61799e-05
99,2575.89,1.28789,0.99357,1.04079,0.88943,0.87208,0.90867,0.57263,1.21213,0.93548,0.95745,4.96766e-05,4.96766e-05,4.96766e-05
100,2597.34,1.44505,1.10249,1.10802,0.90292,0.86162,0.90897,0.5742,1.20803,0.9336,0.95542,3.31733e-05,3.31733e-05,3.31733e-05
